cell_type,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
cytotoxicity score_MCPCOUNTER,-3.25933853134404,-3.95721633998635,-2.49521108095221,-1.60503289427078,-1.85720792123162,-2.30515035833344,-0.065315922526269,-0.675449878024483,-0.30248244456557,0.623229254534554,0.573730701291812,-0.833335848884745
NK cell_MCPCOUNTER,-3.92899218267692,-3.15691491506119,-3.19001594926891,-1.78991890636505,-2.06670685318005,-2.22893560028255,-1.38060318673393,-2.59992587377183,-2.28616277058872,-0.303040763111415,-0.29385183347556,-2.10525658097036
B cell_MCPCOUNTER,-1.23034143293454,-1.44912481531234,-1.47687476513515,-0.440704834821335,-1.65924271273457,-0.794161953022239,-1.48799428482365,-0.369124903524962,-0.66569484872713,-1.16162016538312,-0.426985163488406,-0.202979012278634
Monocyte_MCPCOUNTER,-0.554243208113209,0.193205254156806,0.345676847327304,1.11197406266061,0.477826215645887,1.32829548790304,2.12657458819243,1.91103247409317,1.59624378467171,2.45537483308032,2.64154805602361,2.39368159438587
Macrophage/Monocyte_MCPCOUNTER,-0.554243208113209,0.193205254156806,0.345676847327304,1.11197406266061,0.477826215645887,1.32829548790304,2.12657458819243,1.91103247409317,1.59624378467171,2.45537483308032,2.64154805602361,2.39368159438587
Myeloid dendritic cell_MCPCOUNTER,-1.18306563451208,-0.586798256808438,-1.04389774429363,1.09049947788228,-0.282435544235491,2.05361825627067,0.199802049151368,1.7090666143022,1.37730161738414,0.320762512281888,2.63606051408007,2.48633256142916
Neutrophil_MCPCOUNTER,2.11233180287441,2.15969040842391,2.01240949643905,1.94016782627358,1.72247531447691,2.33479308141248,2.23938079422347,2.28788380890153,2.38836074394499,2.27982393015287,3.02389752402624,3.25374851141567
Endothelial cell_MCPCOUNTER,2.39241474276329,2.32802695213172,2.11791834543815,2.17583388111871,2.34764441719671,2.22964611181395,1.98874606381185,2.2690911070511,2.1266484768882,2.10519670399406,2.12948963173379,2.9589254443525
Cancer associated fibroblast_MCPCOUNTER,1.84408297630391,2.18836591254013,1.99767001192218,2.39861706045832,2.69416314263533,3.41489638628906,1.99570339304884,2.95936065826792,3.18082307806642,2.91851233816834,3.49891245916443,4.78856515594299
Myeloid dendritic cell activated_XCELL,3.0267167151014e-19,0.000127996885746667,0.000112266836876172,0.0523685195708954,0.0100433877172143,0.0136835106457196,0.127225742302898,0.0773529228888212,0.081582733506679,0.21015009021166,0.259153286154861,0.0366429620609683
B cell_XCELL,2.38554240003659e-20,0,1.00648175116829e-19,1.50218098178279e-20,9.35819245708999e-21,1.55971891928949e-21,0.00123821156146633,7.74647115414214e-20,0,0.00180370560075891,0.0024798363308471,1.31184806889499e-19
T cell CD4+ memory_XCELL,0.000988897788992671,0.00148564946920262,0,0,0,0.000133910727197167,1.84401918950291e-20,0,4.49163230855093e-21,2.44183014567308e-21,0,1.75343355521933e-20
T cell CD4+ naive_XCELL,5.00642801967968e-19,8.09810940906311e-19,0,1.51586701452863e-19,0,5.02901552635125e-19,0,2.14067166811711e-18,6.09874994605443e-21,7.51003888423093e-19,0,7.55129670448655e-19
T cell CD4+ (non-regulatory)_XCELL,0.00158118806320399,0.00147246177995235,0.000493705314014234,1.71840601397489e-19,5.93684654303205e-19,0.000524983372518055,3.75715363450279e-20,2.8255847586474e-19,8.80416634640442e-20,1.41069245798155e-18,0,0
T cell CD4+ central memory_XCELL,0.00924968298565042,0.00619271718306467,0.00906520354579875,2.9895815163481e-18,0,0.00573452968008719,1.91657401812805e-20,8.92867950761605e-19,0,1.33066310448375e-18,9.00064396472506e-20,0
T cell CD4+ effector memory_XCELL,0.0180632187445904,0.0111441967051198,0.0157673318262391,0.0155402787793166,0.0096305284678081,0.0239207702618142,0.0214997081343347,0.0242841040034383,0.0239334765566849,0.0128261329281722,0,4.96452413386045e-19
